Id,SalePrice
1461,122952.39443470395
1462,151844.39789528292
1463,178933.4751473073
1464,182693.79710484174
1465,195294.9428547218
1466,169505.59920933473
1467,169257.80252354042
1468,159601.56769137934
1469,193342.70736750608
1470,121898.51380681815
1471,203914.5525303872
1472,96280.36456173398
1473,98935.20481266966
1474,154471.47247688816
1475,139446.9409316992
1476,396500.13791176706
1477,255015.69456120313
1478,302896.4848298604
1479,281625.02894619014
1480,443984.64672667516
1481,326760.70646382443
1482,204992.36353418021
1483,165164.86976060446
1484,169520.08694951513
1485,177697.80108071736
1486,191752.36552501365
1487,355757.0005203479
1488,243876.84276264824
1489,199432.02871575629
1490,208925.91126694754
1491,189827.73890815457
1492,93406.1251741568
1493,181733.8268802679
1494,311694.12616924976
1495,305724.15005504596
1496,227979.36305277943
1497,179528.16298031283
1498,160199.3642802703
1499,164289.81124557066
1500,142628.38612406133
1501,170308.9744239792
1502,153892.63970604204
1503,279868.7825380312
1504,232352.25297522405
1505,230098.932374625
1506,173981.7314513131
1507,238240.70417003863
1508,189793.90394670403
1509,160723.05081962526
1510,144018.11628262085
1511,141996.21194657337
1512,164313.88122815915
1513,142791.86663853066
1514,166374.84152509557
1515,202584.1938367978
1516,176432.61364026932
1517,155483.68718342844
1518,138648.28990877743
1519,221331.15977181867
1520,134427.92946535966
1521,135944.76354480244
1522,168407.8248065547
1523,112757.64195825867
1524,126311.6076366109
1525,128065.51648374273
1526,125588.32145614632
1527,102009.32452968322
1528,137055.0291723753
1529,144726.3912816208
1530,181248.23467673457
1531,99227.99330434295
1532,104720.29683005081
1533,131524.07855687922
1534,121458.1431284233
1535,153760.3138954263
1536,114685.95440706096
1537,66152.5727058883
1538,178260.05365403736
1539,212013.03432046346
1540,91755.5102037221
1541,149054.75657321396
1542,138555.67992527084
1543,219033.30241124943
1544,78234.90583092628
1545,103168.12876144906
1546,125270.31566947771
1547,128381.66413715013
1548,126185.90437199826
1549,109030.00239155845
1550,140430.45801894588
1551,115917.63734376525
1552,130290.28236306408
1553,148746.90481657305
1554,106949.7629523351
1555,169892.97705867808
1556,76205.81279403873
1557,103035.35480094922
1558,91552.44917111557
1559,74287.76304650873
1560,138445.70778563945
1561,128177.61503665852
1562,130412.37086514133
1563,124933.45961148512
1564,149017.46281580772
1565,148221.48983347663
1566,233924.235765431
1567,77264.37035452592
1568,214217.4272219169
1569,135183.7437174319
1570,128211.00073293797
1571,130302.07209779412
1572,150657.226821363
1573,257283.69000466217
1574,113803.7399936382
1575,221386.81409666408
1576,204976.61511589773
1577,187081.1955789576
1578,149236.09506102334
1579,140363.9331163085
1580,185626.2650183816
1581,141172.51894464734
1582,128597.08325882317
1583,325209.0723487567
1584,225121.42629968686
1585,140543.5141618805
1586,69651.05065207637
1587,101491.38793910098
1588,145574.1292725356
1589,97179.46499023474
1590,135273.96515928992
1591,103558.78976645526
1592,115432.4465004927
1593,129685.91539143544
1594,105589.4119088896
1595,109957.21984089447
1596,243389.9067231452
1597,188407.9045941095
1598,202922.31465775488
1599,186379.84415654335
1600,187839.1445114425
1601,68366.40472725379
1602,105006.42843625497
1603,71438.75166585947
1604,277622.2592035083
1605,253241.95237721902
1606,165332.45282267302
1607,161533.92112184927
1608,211508.9919102162
1609,189467.98673526
1610,145052.86486309092
1611,148467.95458990682
1612,160016.22861965097
1613,154921.6161094455
1614,124527.95511408323
1615,86708.6655683043
1616,76990.93262770573
1617,89364.33136199998
1618,130615.9883556261
1619,133976.61148456464
1620,155486.52332612712
1621,132662.06012627072
1622,135286.9674632386
1623,286166.2527833367
1624,205521.78866144342
1625,132373.0659310199
1626,171103.1047867264
1627,184335.46403370902
1628,276924.2516072312
1629,185364.1000039137
1630,357946.64677298715
1631,212005.38415660124
1632,247104.7314190831
1633,172431.67344823148
1634,186031.6275855968
1635,180852.4575549198
1636,161131.4480619712
1637,180480.4489818753
1638,205820.81009057135
1639,182056.5640773211
1640,260166.51198634485
1641,178241.53967487495
1642,215522.00173553833
1643,224021.8255287838
1644,225775.35114651368
1645,174600.77738966214
1646,155539.54611924803
1647,171924.3582829055
1648,130824.25589071172
1649,135558.22565843695
1650,117838.1584783309
1651,124272.35123391532
1652,99199.56542435856
1653,98581.32618755319
1654,153700.5564735347
1655,155192.63027049386
1656,150896.98389393793
1657,153700.5564735347
1658,153054.9774233942
1659,148459.94832078734
1660,142864.55436541987
1661,435830.1354272762
1662,406065.8230292898
1663,401955.7204514129
1664,294406.9695777605
1665,304672.51604384434
1666,325300.86116553494
1667,343236.0223167609
1668,329446.13131491985
1669,311840.69727658934
1670,352563.27984825254
1671,264555.79299495637
1672,429966.76343508
1673,301464.94688427134
1674,246102.3577772094
1675,175389.58763052133
1676,179907.0525460289
1677,204579.21322015548
1678,424082.14147530263
1679,366060.02111678594
1680,312679.3233197745
1681,235025.0844157941
1682,312129.01344322745
1683,180840.26974305155
1684,177659.97678838883
1685,174301.70770129294
1686,174660.14338101394
